SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,,,,
1018GS2026,97.05,97.05,97.05,97.05,97.05,,,,
20MICRONS,54,55.3,53.75,54,54.7,,,,
21STCENMGM,38.35,38.35,38.35,38.35,38.35,,,,
3MINDIA,25260,26000,25260,25705.25,25700,,,,
3PLAND,14.3,14.3,13.3,13.7,13.7,,,,
5PAISA,471.6,492,469,475.75,474.1,,,,
618GS2024,103,103,103,103,103,,,,
63MOONS,93.4,97.4,93.4,96,95.75,,,,
667GS2050,97.5,98,96,96.49,96,,,,
676GS2061,97.5,97.5,97.01,97.01,97.01,,,,
716GS2050,112,112,112,112,112,,,,
759GS2026,108,108,108,108,108,,,,
762GS2039,110,110,110,110,110,,,,
A2ZINFRA,4.3,4.4,4.25,4.25,4.25,,,,
AAATECH,48,49.5,48,49.5,49.5,,,,
AAKASH,282.8,301,275.55,289.45,294.5,,,,
AAREYDRUGS,37.3,41,36.95,37.85,38.25,,,,
AARON,108,108,105.1,106.35,106.25,,,,
AARTIDRUGS,609.25,616.5,607.3,611.9,612,,,,
AARTIIND,937.4,939.95,920.6,926.95,926.75,,,,
AARTISURF,1402.2,1679.9,1402.2,1640.05,1646.3,,,,
AARVEEDEN,18.3,18.5,18,18.1,18.05,,,,
AARVI,58.25,58.3,57.05,57.35,57.5,,,,
AAVAS,2517.7,2517.7,2450.05,2472.55,2474,,,,
ABAN,44.7,45.5,43.1,43.7,43.8,,,,
ABB,1888,1917,1870.65,1907.3,1900,,,,
ABBOTINDIA,21400,21870,21311,21454.05,21399,,,,
ABCAPITAL,113.45,115.85,113,113.85,113.25,,,,
ABFRL,216,221.45,214.7,216.05,216.25,,,,
ABMINTLLTD,116.5,116.5,116.5,116.5,116.5,,,,
ABSLBANETF,363,365.6,363,364.21,364.59,,,,
ABSLNN50ET,431,439.25,431,435.75,435.75,,,,
ACC,2470,2475.05,2437.55,2442.95,2443.4,,,,
ACCELYA,1300,1315,1278.05,1282.35,1285,,,,
ACCURACY,138.7,140.5,136.6,137.6,137.1,,,,
ACE,278,291.75,271.25,277.1,276.7,,,,
ACEINTEG,20.15,20.15,20.15,20.15,20.15,,,,
ACRYSIL,640,665,640,658,660,,,,
ADANIENT,1539.9,1547.25,1497.05,1513.2,1514,,,,
ADANIGREEN,1189,1208.4,1133.1,1149.4,1149,,,,
ADANIPORTS,747.8,762.75,745.45,755.4,756.5,,,,
ADANIPOWER,99,102,97.85,99.2,99.35,,,,
ADANITRANS,1950,1954.15,1891.45,1942.7,1938,,,,
ADFFOODS,937.3,949.95,928,939.5,939.9,,,,
ADL,39.25,42.5,39.25,42.15,42.5,,,,
ADORWELD,693.2,698.85,680,685.3,684,,,,
ADROITINFO,10.7,10.7,9.9,10.45,10.45,,,,
ADSL,75,78.65,73.2,74.15,74.6,,,,
ADVANIHOTR,70.8,72,70.2,70.8,70.95,,,,
ADVENZYMES,414.85,417.7,403,407.3,406.1,,,,
AEGISCHEM,244.45,251.5,241.5,243,243,,,,
AFFLE,4989,4989,4862,4906,4910,,,,
AGARIND,315,319.5,310,311.45,313.45,,,,
AGCNET,1274,1278.15,1250,1278.15,1278.15,,,,
AGRITECH,66.8,66.8,62.1,66.8,66.8,,,,
AGROPHOS,15.4,15.4,14.4,15.2,15.4,,,,
AHLADA,144,147.5,141.8,142.5,142.45,,,,
AHLEAST,186.8,195.75,185.4,189.35,188.4,,,,
AHLUCONT,405.8,405.8,394,396.1,396.15,,,,
AHLWEST,276.7,282,273.8,276.75,279.9,,,,
AIAENG,2097,2119.5,2060,2105,2105.05,,,,
AILIMITED,31.5,31.5,31.5,31.5,31.5,,,,
AIRAN,23.45,23.55,22.5,23.45,23.45,,,,
AIROLAM,48.6,51.25,48.6,51.25,51.25,,,,
AISL,38.3,38.3,38.3,38.3,38.3,,,,
AJANTPHARM,2146.05,2225,2139.2,2217.4,2220,,,,
AJMERA,411.95,411.95,379.75,379.75,379.75,,,,
AJOONI,52.35,52.8,50.5,50.9,50.6,,,,
AJRINFRA,1.55,1.55,1.5,1.55,1.55,,,,
AKASH,200,200,181.35,187.6,194,,,,
AKG,25.25,25.3,23,24.2,23.3,,,,
AKSHARCHEM,432.05,439,427.05,429.35,429.4,,,,
AKSHOPTFBR,8.75,9.05,8.7,8.85,8.95,,,,
AKZOINDIA,2204.5,2204.5,2191.65,2199.65,2199.9,,,,
ALANKIT,15.7,15.95,15.45,15.6,15.55,,,,
ALBERTDAVD,590.1,598,585.25,591.2,587.25,,,,
ALEMBICLTD,115.55,116.65,114.3,114.7,115.35,,,,
ALICON,799.4,802.5,785.1,792.15,790,,,,
ALKALI,71.2,72.45,70.85,71.5,71.7,,,,
ALKEM,3843.3,3849.3,3794.4,3806.3,3811.65,,,,
ALKYLAMINE,4150,4185,4080,4093,4095,,,,
ALLCARGO,225,235.95,220.55,230.95,230.25,,,,
ALLSEC,466.65,466.65,456.55,461.15,461,,,,
ALMONDZ,75.95,76.75,74.05,74.65,74.05,,,,
ALOKINDS,24.25,24.7,23.65,23.75,23.8,,,,
ALPA,54,57,54,56.25,56.4,,,,
ALPHAGEO,426.6,434.7,420,421,421.5,,,,
ALPSINDUS,2.05,2.1,1.95,2.1,2.1,,,,
AMARAJABAT,721.9,741.25,718.7,736.7,737.2,,,,
AMBER,3240,3274,3201.65,3213.95,3214,,,,
AMBICAAGAR,16,17.3,15.4,15.95,16.3,,,,
AMBIKCO,1628,1635,1608,1610.5,1610,,,,
AMBUJACEM,436.55,436.85,428.5,432.45,432,,,,
AMDIND,28.55,29.7,28.5,28.7,28.65,,,,
AMIORG,910,966.7,841,935,934.5,,,,
AMJLAND,32.6,32.6,31.5,31.95,31.9,,,,
AMRUTANJAN,725,739.9,725,737.05,739,,,,
ANANTRAJ,68.45,69.35,66.25,67.35,67.35,,,,
ANDHRACEMT,21.65,22.25,20.8,22.25,22.25,,,,
ANDHRAPAP,238.4,238.4,229.4,230.65,231,,,,
ANDHRSUGAR,574.7,600,570.15,595,595.75,,,,
ANDREWYU,24.8,24.85,24.15,24.4,24.45,,,,
ANGELBRKG,1304,1334.8,1265.15,1278.45,1281.5,,,,
ANIKINDS,18.7,19.5,18.55,18.65,18.7,,,,
ANKITMETAL,1.75,1.8,1.7,1.8,1.8,,,,
ANMOL,203.85,207.55,193.5,193.95,193.85,,,,
ANSALAPI,9.45,9.45,9.15,9.25,9.25,,,,
ANSALHSG,6.5,6.7,6.3,6.35,6.3,,,,
ANTGRAPHIC,0.85,0.85,0.75,0.85,0.85,,,,
ANUP,1083.8,1108.3,1036.9,1092.4,1082,,,,
ANURAS,745,749.7,731.2,738.15,734,,,,
APARINDS,674.95,678.85,658,660.4,660,,,,
APCL,430,430,423.05,425.75,426.8,,,,
APCOTEXIND,433.4,441.3,406,409.85,409.9,,,,
APEX,300.85,319.5,300.85,304.75,304,,,,
APLAPOLLO,1882.8,1890,1840,1880,1885,,,,
APLLTD,775.25,783.9,773.9,780.2,780,,,,
APOLLO,127.5,129,123.55,126.4,125.15,,,,
APOLLOHOSP,4773,4773,4696.7,4732.45,4725,,,,
APOLLOPIPE,1580,1592.9,1541,1551.15,1548.9,,,,
APOLLOTYRE,215.95,221.9,215.3,221.05,221.15,,,,
APOLSINHOT,810.5,822.05,800,803.2,809,,,,
APTECHT,287,291.05,283,284.1,284.4,,,,
APTUS,361,365.9,360.05,361.3,362,,,,
ARCHIDPLY,31.5,32.3,30.9,31.85,31.75,,,,
ARCHIES,17.95,18.3,17.8,17.95,17.8,,,,
ARENTERP,29.7,29.7,29.7,29.7,29.7,,,,
ARIES,149.3,154.4,149,152.35,152.2,,,,
ARIHANT,26.25,28.3,26.2,27.5,27.75,,,,
ARIHANTCAP,142,144.5,138.2,139,139.3,,,,
ARIHANTSUP,119.05,124,118.5,123.15,121.9,,,,
ARMANFIN,889,910,871.65,879.95,881.8,,,,
AROGRANITE,72,72.45,69.7,69.85,69.8,,,,
ARROWGREEN,134.95,136.25,129.05,130.45,131.5,,,,
ARSHIYA,29.8,29.8,28.5,28.6,28.7,,,,
ARSSINFRA,31.8,31.8,29.45,29.45,29.45,,,,
ARTEMISMED,388.8,393.35,367.1,370.95,374.6,,,,
ARVEE,92,93.4,90,93.4,93.4,,,,
ARVIND,98.1,98.3,95.3,95.7,96,,,,
ARVINDFASN,265,267.7,250,254.1,253.5,,,,
ARVSMART,151,151,145.75,147.05,146.4,,,,
ASAHIINDIA,377.85,384,375.05,377,378,,,,
ASAHISONG,369.75,369.75,352.25,354.3,357,,,,
ASAL,57.85,59,56.1,57.1,57,,,,
ASALCBR,444,448.85,440.8,443.6,444,,,,
ASHAPURMIN,128.05,133.45,128.05,128.05,128.05,,,,
ASHIANA,188.55,193.65,183,189.45,188.15,,,,
ASHIMASYN,18.65,18.65,17.95,18.05,18,,,,
ASHOKA,104.45,105,102,102.25,102.3,,,,
ASHOKLEY,124,125.45,123.7,124.85,124.95,,,,
ASIANHOTNR,85.8,88,84,87.5,87.45,,,,
ASIANPAINT,3384.9,3388.6,3356.85,3362.5,3362.5,,,,
ASIANTILES,161.9,162.85,157.2,159.35,157.25,,,,
ASPINWALL,182.1,196,171.95,190.9,191.2,,,,
ASTEC,1347,1398,1337.5,1361.3,1358.9,,,,
ASTERDM,232.45,237,230.6,233.85,233.7,,,,
ASTRAL,2157,2157,2098,2107.05,2107.5,,,,
ASTRAMICRO,174.8,174.8,169.1,170.75,170.9,,,,
ASTRAZEN,3101,3142,3101,3136.6,3140,,,,
ASTRON,59.95,61.4,58.4,58.85,58.95,,,,
ATALREAL,102,103.9,100.5,103.75,103.75,,,,
ATFL,1043,1075,1016.25,1041.4,1046.9,,,,
ATGL,1369.95,1385.1,1340,1375,1375,,,,
ATLANTA,14.85,14.85,13.7,14.25,14.15,,,,
ATUL,9605,9898,9605,9850.25,9890,,,,
ATULAUTO,198,203,197.05,199.85,199.5,,,,
AUBANK,1150,1166.95,1124.05,1134,1137,,,,
AURDIS,70.9,70.95,67,67,67,,,,
AURIONPRO,199,208.95,199,200.25,199,,,,
AUROPHARMA,736.15,750.9,733.6,748.05,747.95,,,,
AUSOMENT,72.95,74.5,71.35,73.7,73.7,,,,
AUTOAXLES,1234.05,1237.95,1215,1218.75,1218,,,,
AUTOIND,55,57.45,54.15,57.45,57.45,,,,
AVADHSUGAR,415.9,444.8,414.45,434.15,443.4,,,,
AVANTIFEED,565.05,577.85,561,564.45,564.8,,,,
AVG,60.1,62.1,60.1,62.1,62.1,,,,
AVTNPL,76.55,82.4,76.55,80.75,80.5,,,,
AWHCL,420,450.9,416.85,445.15,448,,,,
AXISBANK,791,801,790,794.4,793,,,,
AXISBNKETF,368,374,366.55,367.64,367.55,,,,
AXISBPSETF,10.35,10.35,10.34,10.34,10.34,,,,
AXISCADES,69.8,72.7,69.8,72.7,72.7,,,,
AXISGOLD,40.89,40.89,40.63,40.72,40.76,,,,
AXISHCETF,90.02,90.75,89.39,90.22,90.3,,,,
AXISNIFTY,181,182.6,181,181.24,181.19,,,,
AXISTECETF,351.99,355,351.99,352.91,353,,,,
AYMSYNTEX,98.55,101.65,97.35,97.75,97.55,,,,
BAFNAPH,131.5,133.4,127.25,130.8,131,,,,
BAGFILMS,2.85,2.85,2.85,2.85,2.85,,,,
BAJAJ-AUTO,3717.4,3767,3690,3751.05,3754.55,,,,
BAJAJCON,262,265,260.4,262.35,262.4,,,,
BAJAJELEC,1335,1389.8,1325.45,1381,1380.05,,,,
BAJAJFINSV,17000,17040,16795.8,16831.25,16840,,,,
BAJAJHIND,14.6,15.25,14.3,15.1,15.25,,,,
BAJAJHLDNG,4329.95,4329.95,4258.85,4282.2,4288.7,,,,
BAJFINANCE,7480,7530,7408,7417.55,7415,,,,
BALAJITELE,61.65,63.7,61.5,62.85,62.7,,,,
BALAMINES,4735,5005,4675,4974.8,5000,,,,
BALAXI,557.2,565,551.7,554.25,556,,,,
BALKRISIND,2460,2502.95,2435.6,2472.5,2465.4,,,,
BALLARPUR,1.4,1.4,1.4,1.4,1.4,,,,
BALMLAWRIE,136,136.4,135,135.85,136.1,,,,
BALPHARMA,99.55,99.55,96.15,98.2,98.1,,,,
