SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST
20MICRONS,52,54.1,52,53.45,53.1
21STCENMGM,32.3,32.3,31.1,32.3,32.3
3IINFOTECH,8.45,8.45,8.45,8.45,8.45
3MINDIA,22705.1,22805.1,22575.25,22643.35,22688.15
3PLAND,13.5,13.75,13.3,13.65,13.75
5PAISA,435.2,451,435.2,446.35,443.35
63MOONS,98.2,98.2,95.1,95.7,95.9
667GS2050,96.15,96.75,95.11,96.51,96.75
676GS2061,96.5,98.95,96.2,96.93,96.2
74GS2035,100.75,100.75,100.75,100.75,100.75
772GS2055,115.5,115.5,115.5,115.5,115.5
A2ZINFRA,4.3,4.35,4.2,4.25,4.2
AAATECH,46,47,46,47,47
AAKASH,244.6,268,241,265,265
AAREYDRUGS,39,39,37.5,37.95,37.85
AARON,96.05,102.45,96.05,102.45,102.45
AARTIDRUGS,610,612.8,600,602,602.4
AARTIIND,911,929.3,906,926.5,926.8
AARTISURF,1418,1467.7,1402.55,1430.95,1428.2
AARVEEDEN,18,18.9,18,18.6,18.75
AARVI,56.85,56.85,54.55,55.9,56.25
AAVAS,2393,2450,2382.7,2440.6,2444.05
ABAN,39.6,40.5,38.5,39.05,39.25
ABB,1750,1865,1735,1850.05,1852
ABBOTINDIA,19000,19099.95,18915.4,19028.8,18950.15
ABCAPITAL,106.3,108.95,104.1,107.95,107.9
ABFRL,200.7,203.85,198.25,202.35,202
ABSLBANETF,353.07,355.13,353.07,355.13,355.13
ABSLNN50ET,404.2,414.2,404.2,409.13,414.2
ABSLRIF6RD,9.5,9.5,9.5,9.5,9.5
ABSLRIF6RG,10.07,10.07,10.07,10.07,10.07
ACC,2279.95,2354.65,2266.3,2348.1,2341.35
ACCELYA,1284.4,1299,1240.6,1262.25,1258.15
ACCURACY,110.5,123.8,107,116.65,116.95
ACE,218,220.75,213,217.85,216
ACRYSIL,604.85,604.85,584.45,587.35,589
ADANIENT,1475,1515,1474.1,1506.05,1504.2
ADANIGREEN,1050,1060,998,1049.1,1045.05
ADANIPORTS,724,731.95,722.25,727,726
ADANIPOWER,89.4,89.4,85.15,89.4,89.4
ADANITRANS,1433.7,1433.7,1297.2,1433.7,1433.7
ADFFOODS,810,818,795.65,811.65,801
ADL,40.3,40.4,37,40.05,40.4
ADORWELD,687.95,694.7,665.3,680.9,679.5
ADROITINFO,8.9,9.3,8.6,9.1,9.3
ADSL,71.45,74.85,67.75,69,69.8
ADVANIHOTR,70.7,70.8,69.1,69.35,69.65
ADVENZYMES,369,376.7,362.1,370.95,372.4
AEGISCHEM,270.6,272.5,268,269.8,269.8
AFFLE,4275,4363.35,4200,4363.35,4363.35
AGARIND,283.25,303,283.25,301.2,301.15
AGCNET,960.3,978.65,956,957.75,970
AGRITECH,49.5,49.5,47.8,49.25,49
AGROPHOS,15.05,15.55,15.05,15.25,15.45
AHLADA,164,164.65,159.05,163.2,164.65
AHLEAST,174.8,187.9,171.4,184.7,186
AHLUCONT,370.35,372.2,370,370.85,371
AHLWEST,275,280,272.05,279.2,278.45
AIAENG,1927,1945.55,1920,1932.9,1939.95
AILIMITED,22.15,22.2,22.15,22.15,22.15
AIRAN,23.8,23.85,22.5,23.4,23.4
AIROLAM,52.4,56.5,50.6,50.75,50.75
AISL,43.95,46,41,42.7,44.7
AJANTPHARM,2234,2234,2208.5,2218.3,2218
AJMERA,349.7,354,341.4,345.7,345
AJOONI,51,51,48,48.85,49
AJRINFRA,1.65,1.65,1.65,1.65,1.65
AKASH,157,161.8,152.05,154.35,152.05
AKG,23.35,25.1,23,24.9,25.1
AKSHARCHEM,407,430,407,424.6,419.15
AKSHOPTFBR,9,9,8.6,8.8,8.9
AKZOINDIA,2211.6,2215,2190,2201.2,2200
ALANKIT,15.2,15.2,14.7,15,14.95
